"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","hindfoot_length_cm"
126,8,21,1977,20,"DM","F",30,NA,3
127,8,21,1977,14,"DM","M",33,NA,3.3
128,8,21,1977,15,"DM","M",34,NA,3.4
129,8,21,1977,14,"DM","F",34,NA,3.4
130,8,21,1977,16,"DM","F",34,NA,3.4
131,8,21,1977,22,"DM","M",37,NA,3.7
132,8,21,1977,22,"DM","F",33,NA,3.3
133,8,21,1977,15,"DM","M",37,NA,3.7
134,8,21,1977,17,"DS","F",45,NA,4.5
135,8,21,1977,15,"DM","F",35,NA,3.5
136,8,21,1977,13,"PF","F",16,NA,1.6
137,8,21,1977,20,"DM","F",35,NA,3.5
138,8,21,1977,22,"DM","M",37,NA,3.7
139,8,21,1977,14,"PF","M",15,NA,1.5
140,8,21,1977,20,"DM","M",33,NA,3.3
141,8,21,1977,16,"DM","M",36,NA,3.6
142,8,21,1977,17,"DM","F",34,NA,3.4
143,8,21,1977,15,"DM","M",35,NA,3.5
144,8,21,1977,15,"DS","M",40,NA,4
145,8,21,1977,13,"DM","F",37,NA,3.7
146,8,21,1977,13,"DM","F",36,40,3.6
147,8,21,1977,13,"DM","M",37,NA,3.7
148,8,21,1977,14,"DM","M",37,NA,3.7
149,8,21,1977,20,"DS","M",50,NA,5
150,8,21,1977,21,"DM","M",35,NA,3.5
151,8,21,1977,13,"DM","M",35,NA,3.5
152,8,21,1977,14,"DM","M",38,NA,3.8
153,8,21,1977,16,"DS","F",50,NA,5
154,8,21,1977,20,"DS","F",47,NA,4.7
155,8,21,1977,20,"DS","",NA,NA,NA
156,8,21,1977,21,"DM","M",35,NA,3.5
157,9,11,1977,20,"DM","M",36,37,3.6
158,9,11,1977,22,"DM","M",36,48,3.6
159,9,11,1977,5,"DS","M",53,NA,5.3
160,9,11,1977,21,"DM","M",37,NA,3.7
161,9,11,1977,5,"DM","M",37,42,3.7
162,9,11,1977,6,"DM","F",39,45,3.9
163,9,11,1977,12,"PP","F",21,16,2.1
164,9,11,1977,22,"DM","F",36,36,3.6
165,9,11,1977,19,"DS","F",50,NA,5
166,9,11,1977,21,"OX","M",13,NA,1.3
167,9,11,1977,6,"DM","M",36,42,3.6
168,9,11,1977,12,"DM","M",36,44,3.6
169,9,11,1977,5,"DM","M",37,NA,3.7
170,9,11,1977,20,"DM","F",36,41,3.6
171,9,11,1977,12,"NL","",NA,NA,NA
172,9,11,1977,22,"PF","F",NA,8,NA
173,9,11,1977,12,"DM","F",36,40,3.6
174,9,11,1977,12,"DM","M",37,34,3.7
175,9,11,1977,19,"DM","M",33,40,3.3
176,9,11,1977,12,"DS","M",45,NA,4.5
177,9,11,1977,5,"OX","F",NA,20,NA
178,9,11,1977,18,"DM","M",33,44,3.3
179,9,11,1977,12,"DM","M",37,44,3.7
180,9,11,1977,6,"DM","M",34,36,3.4
181,9,11,1977,20,"DM","M",35,33,3.5
182,9,11,1977,21,"DS","M",49,NA,4.9
183,9,11,1977,5,"DM","F",37,46,3.7
184,9,11,1977,20,"DS","M",52,NA,5.2
185,9,11,1977,12,"OX","F",19,NA,1.9
186,9,11,1977,19,"DM","F",34,35,3.4
187,9,12,1977,17,"DM","M",36,46,3.6
188,9,12,1977,14,"DS","F",48,NA,4.8
189,9,12,1977,17,"DM","F",33,37,3.3
190,9,12,1977,7,"DM","M",36,34,3.6
191,9,12,1977,17,"DS","M",47,NA,4.7
192,9,12,1977,4,"DM","F",36,45,3.6
193,9,12,1977,7,"PE","",NA,NA,NA
194,9,12,1977,11,"NL","",NA,NA,NA
195,9,12,1977,4,"DS","M",50,NA,5
196,9,12,1977,7,"PF","F",15,7,1.5
197,9,12,1977,14,"DM","M",37,51,3.7
198,9,12,1977,4,"DM","M",35,39,3.5
199,9,12,1977,11,"DM","M",36,29,3.6
200,9,12,1977,17,"DS","F",52,NA,5.2
201,9,12,1977,10,"DS","M",47,NA,4.7
202,9,12,1977,17,"DM","F",32,48,3.2
203,9,12,1977,11,"DM","M",38,46,3.8
204,9,12,1977,16,"DM","F",37,41,3.7
205,9,12,1977,16,"DS","M",50,NA,5
206,9,12,1977,23,"DS","F",52,NA,5.2
207,9,12,1977,16,"DS","F",53,NA,5.3
208,9,12,1977,14,"DM","M",37,45,3.7
209,9,12,1977,17,"DM","F",35,42,3.5
210,9,12,1977,11,"DM","F",36,53,3.6
211,9,12,1977,4,"DS","F",48,NA,4.8
212,9,12,1977,16,"PF","",NA,NA,NA
213,9,12,1977,14,"DM","F",35,49,3.5
214,9,12,1977,17,"NL","",NA,NA,NA
215,9,12,1977,14,"DM","F",36,46,3.6
216,9,12,1977,4,"PF","F",13,9,1.3
217,9,13,1977,3,"PP","F",19,15,1.9
218,9,13,1977,1,"PF","M",13,4,1.3
219,9,13,1977,13,"DM","M",36,48,3.6
220,9,13,1977,2,"DS","M",52,NA,5.2
221,9,13,1977,3,"DM","",NA,NA,NA
222,9,13,1977,1,"DS","M",52,NA,5.2
223,9,13,1977,8,"DS","F",50,NA,5
224,9,13,1977,2,"NL","",NA,NA,NA
225,9,13,1977,15,"DM","",NA,NA,NA
226,9,13,1977,2,"DM","M",37,51,3.7
227,9,13,1977,15,"DM","",NA,NA,NA
228,9,13,1977,9,"DM","M",38,50,3.8
229,9,13,1977,13,"DM","M",35,44,3.5
230,9,13,1977,15,"DM","",NA,NA,NA
231,9,13,1977,15,"DS","",NA,NA,NA
232,9,13,1977,9,"DS","M",48,NA,4.8
233,9,13,1977,2,"DM","M",25,44,2.5
234,9,13,1977,9,"DM","M",35,45,3.5
235,9,13,1977,13,"DM","F",37,45,3.7
236,9,13,1977,9,"DS","F",47,NA,4.7
237,9,13,1977,9,"DS","F",50,NA,5
238,9,13,1977,2,"PE","M",20,19,2
239,9,13,1977,1,"DS","M",48,NA,4.8
240,9,13,1977,9,"DS","F",53,NA,5.3
241,9,13,1977,3,"DS","",NA,NA,NA
242,9,13,1977,2,"OX","M",19,22,1.9
243,10,16,1977,6,"DM","F",38,44,3.8
244,10,16,1977,22,"DM","F",36,42,3.6
245,10,16,1977,2,"DM","M",37,39,3.7
246,10,16,1977,13,"DM","M",37,47,3.7
247,10,16,1977,2,"DS","M",54,NA,5.4
248,10,16,1977,22,"OT","M",NA,21,NA
249,10,16,1977,13,"DM","M",36,42,3.6
250,10,16,1977,18,"DS","F",51,NA,5.1
251,10,16,1977,2,"DM","M",36,49,3.6
252,10,16,1977,6,"DS","F",53,NA,5.3
253,10,16,1977,20,"DM","M",38,39,3.8
254,10,16,1977,20,"DM","F",36,43,3.6
255,10,16,1977,18,"DM","M",35,50,3.5
256,10,16,1977,6,"DM","M",36,41,3.6
257,10,16,1977,2,"DM","M",37,47,3.7
258,10,16,1977,18,"DM","F",36,37,3.6
259,10,16,1977,2,"DM","M",36,41,3.6
260,10,16,1977,22,"DM","F",36,36,3.6
261,10,16,1977,6,"DM","M",36,45,3.6
262,10,16,1977,20,"PE","M",19,20,1.9
263,10,16,1977,1,"DM","M",37,40,3.7
264,10,16,1977,9,"DS","F",49,NA,4.9
265,10,16,1977,9,"DM","M",38,49,3.8
266,10,16,1977,2,"NL","",NA,NA,NA
267,10,16,1977,22,"DS","F",46,NA,4.6
268,10,16,1977,2,"DM","F",36,55,3.6
269,10,16,1977,6,"DM","M",37,46,3.7
270,10,16,1977,1,"DM","F",36,38,3.6
271,10,16,1977,9,"DS","F",50,NA,5
272,10,16,1977,18,"NL","",NA,NA,NA
273,10,16,1977,9,"DM","M",37,44,3.7
274,10,16,1977,2,"OL","F",20,21,2
275,10,16,1977,20,"DM","M",37,41,3.7
276,10,16,1977,1,"DS","F",50,NA,5
277,10,16,1977,6,"OL","",20,21,2
278,10,16,1977,9,"DS","M",50,NA,5
279,10,16,1977,2,"PE","F",19,NA,1.9
280,10,16,1977,18,"DM","M",37,46,3.7
281,10,16,1977,20,"NL","",NA,NA,NA
282,10,16,1977,22,"NL","",NA,NA,NA
283,10,16,1977,6,"DM","M",34,36,3.4
284,10,16,1977,13,"DM","M",37,44,3.7
285,10,16,1977,1,"DM","M",36,53,3.6
286,10,16,1977,20,"DS","M",50,NA,5
287,10,17,1977,17,"DM","M",38,41,3.8
288,10,17,1977,17,"DM","M",37,48,3.7
289,10,17,1977,14,"DM","M",38,47,3.8
290,10,17,1977,17,"DM","F",33,NA,3.3
291,10,17,1977,11,"DS","F",47,NA,4.7
292,10,17,1977,3,"DO","F",36,33,3.6
293,10,17,1977,4,"DM","F",36,42,3.6
294,10,17,1977,3,"DO","F",37,50,3.7
295,10,17,1977,11,"DM","M",36,41,3.6
296,10,17,1977,17,"OT","",18,21,1.8
297,10,17,1977,11,"NL","",NA,NA,NA
298,10,17,1977,19,"DM","M",36,49,3.6
299,10,17,1977,17,"OT","M",19,NA,1.9
300,10,17,1977,14,"DS","F",NA,NA,NA
301,10,17,1977,17,"DS","F",48,NA,4.8
302,10,17,1977,19,"DM","F",36,44,3.6
303,10,17,1977,3,"DM","M",36,31,3.6
304,10,17,1977,21,"DM","M",37,40,3.7
305,10,17,1977,14,"DM","F",35,40,3.5
306,10,17,1977,16,"DM","M",33,23,3.3
307,10,17,1977,19,"DM","M",36,42,3.6
308,10,17,1977,4,"DS","F",48,NA,4.8
309,10,17,1977,17,"DS","M",49,NA,4.9
310,10,17,1977,11,"DS","",NA,NA,NA
311,10,17,1977,19,"RM","M",18,13,1.8
312,10,17,1977,11,"DM","F",36,42,3.6
313,10,17,1977,19,"DM","M",35,31,3.5
314,10,17,1977,14,"NL","",NA,NA,NA
315,10,17,1977,3,"DM","M",36,39,3.6
316,10,17,1977,15,"DM","M",37,48,3.7
317,10,17,1977,17,"DO","F",32,48,3.2
318,10,17,1977,17,"DM","M",33,29,3.3
319,10,17,1977,14,"DM","M",36,45,3.6
320,10,17,1977,17,"DM","F",35,39,3.5
321,10,17,1977,17,"OL","F",NA,23,NA
322,10,17,1977,4,"DS","F",47,NA,4.7
323,10,17,1977,17,"DO","F",33,31,3.3
324,10,17,1977,7,"","",NA,NA,NA
325,10,17,1977,10,"","",NA,NA,NA
326,10,17,1977,23,"","",NA,NA,NA
327,10,18,1977,8,"DS","F",50,NA,5
328,10,18,1977,16,"DM","F",NA,43,NA
329,10,18,1977,5,"DS","F",47,NA,4.7
330,10,18,1977,5,"DM","M",37,43,3.7
331,10,18,1977,12,"DS","F",50,NA,5
332,10,18,1977,12,"PF","M",16,8,1.6
333,10,18,1977,19,"OX","",NA,NA,NA
334,10,18,1977,5,"DM","F",37,45,3.7
335,10,18,1977,5,"DS","M",52,NA,5.2
336,10,18,1977,12,"DM","M",36,40,3.6
337,10,18,1977,8,"DO","F",35,41,3.5
338,10,18,1977,12,"DM","M",37,41,3.7
339,10,18,1977,8,"DS","F",49,NA,4.9
340,10,18,1977,12,"DM","F",36,39,3.6
341,10,18,1977,5,"DS","M",50,NA,5
342,10,18,1977,16,"DM","M",34,25,3.4
343,10,18,1977,21,"PF","",NA,NA,NA
344,10,18,1977,3,"NL","",NA,NA,NA
345,11,12,1977,22,"DM","F",34,45,3.4
346,11,12,1977,2,"DM","F",37,36,3.7
347,11,12,1977,6,"DM","F",38,40,3.8
348,11,12,1977,13,"DM","M",36,44,3.6
349,11,12,1977,2,"NL","",NA,NA,NA
350,11,12,1977,2,"DM","M",37,47,3.7
351,11,12,1977,22,"OL","",NA,NA,NA
352,11,12,1977,1,"DM","M",36,40,3.6
353,11,12,1977,18,"NL","",NA,NA,NA
354,11,12,1977,2,"DM","M",38,44,3.8
355,11,12,1977,2,"OT","",NA,NA,NA
356,11,12,1977,1,"DO","F",32,44,3.2
357,11,12,1977,9,"DS","F",50,117,5
358,11,12,1977,13,"PF","F",16,7,1.6
359,11,12,1977,18,"DM","M",36,40,3.6
360,11,12,1977,20,"DM","F",35,39,3.5
361,11,12,1977,2,"DM","F",36,40,3.6
362,11,12,1977,1,"DS","F",51,121,5.1
363,11,12,1977,2,"NL","",NA,NA,NA
364,11,12,1977,9,"DM","M",37,46,3.7
365,11,12,1977,1,"DM","F",38,35,3.8
366,11,12,1977,2,"OL","",NA,NA,NA
367,11,12,1977,20,"DS","M",51,115,5.1
368,11,12,1977,9,"PF","F",16,7,1.6
369,11,12,1977,20,"DM","F",36,39,3.6
370,11,12,1977,9,"DM","M",35,40,3.5
371,11,12,1977,13,"DM","M",36,40,3.6
372,11,12,1977,22,"DM","F",36,35,3.6
373,11,12,1977,6,"DM","M",34,36,3.4
374,11,12,1977,18,"DM","M",37,44,3.7
375,11,12,1977,9,"PF","F",15,6,1.5
376,11,12,1977,1,"PF","F",15,7,1.5
377,11,12,1977,9,"DS","F",48,120,4.8
378,11,12,1977,1,"DO","M",33,48,3.3
379,11,13,1977,14,"DM","M",36,44,3.6
380,11,13,1977,17,"DM","F",33,38,3.3
381,11,13,1977,17,"DS","F",48,118,4.8
382,11,13,1977,17,"DM","M",37,40,3.7
383,11,13,1977,11,"DS","F",52,126,5.2
384,11,13,1977,11,"DM","M",36,37,3.6
385,11,13,1977,17,"DS","M",50,132,5
386,11,13,1977,21,"OL","",NA,NA,NA
387,11,13,1977,21,"OL","",NA,NA,NA
388,11,13,1977,11,"DM","F",36,39,3.6
389,11,13,1977,14,"DS","F",NA,113,NA
390,11,13,1977,11,"NL","",NA,NA,NA
391,11,13,1977,11,"PF","M",15,7,1.5
392,11,13,1977,11,"DS","F",53,122,5.3
393,11,13,1977,14,"NL","",NA,NA,NA
394,11,13,1977,4,"DS","F",48,107,4.8
395,11,13,1977,14,"DM","M",36,43,3.6
396,11,13,1977,14,"DM","F",36,40,3.6
397,11,13,1977,17,"RM","F",16,7,1.6
398,11,13,1977,4,"DS","F",50,115,5
399,11,13,1977,17,"DM","F",36,39,3.6
400,11,13,1977,21,"OL","",NA,NA,NA
401,11,13,1977,3,"","",NA,NA,NA
402,11,13,1977,15,"","",NA,NA,NA
403,11,13,1977,19,"","",NA,NA,NA
404,11,14,1977,12,"DM","M",37,40,3.7
405,11,14,1977,12,"DS","",NA,NA,NA
406,11,14,1977,12,"NL","",NA,NA,NA
407,11,14,1977,5,"DS","F",50,116,5
408,11,14,1977,8,"PF","F",9,6,0.9
409,11,14,1977,12,"DM","F",36,38,3.6
410,11,14,1977,5,"DS","M",53,137,5.3
411,11,14,1977,5,"DM","M",36,42,3.6
412,11,14,1977,5,"DS","M",52,126,5.2
413,11,14,1977,8,"DS","F",49,112,4.9
414,11,14,1977,8,"DO","F",34,39,3.4
415,11,14,1977,5,"DM","F",36,41,3.6
416,11,14,1977,7,"","",NA,NA,NA
417,11,14,1977,10,"","",NA,NA,NA
418,11,14,1977,16,"","",NA,NA,NA
419,11,14,1977,23,"","",NA,NA,NA
420,12,10,1977,13,"DM","F",38,48,3.8
421,12,10,1977,9,"DS","F",51,121,5.1
422,12,10,1977,2,"DM","F",37,42,3.7
423,12,10,1977,13,"DM","M",36,42,3.6
424,12,10,1977,2,"DM","M",37,52,3.7
425,12,10,1977,20,"DM","F",36,38,3.6
426,12,10,1977,22,"DM","M",36,45,3.6
427,12,10,1977,2,"DM","F",37,37,3.7
428,12,10,1977,9,"DO","F",33,40,3.3
429,12,10,1977,1,"DM","M",NA,38,NA
430,12,10,1977,9,"PF","F",15,7,1.5
431,12,10,1977,2,"OT","",NA,NA,NA
432,12,10,1977,2,"PF","",NA,NA,NA
433,12,10,1977,9,"DM","M",38,44,3.8
434,12,10,1977,13,"PF","F",16,7,1.6
435,12,10,1977,2,"NL","",NA,NA,NA
436,12,10,1977,18,"DM","F",37,33,3.7
437,12,10,1977,18,"DM","F",37,38,3.7
438,12,10,1977,2,"DM","M",36,47,3.6
439,12,10,1977,20,"DM","F",36,39,3.6
440,12,10,1977,1,"PF","F",16,7,1.6
441,12,10,1977,2,"OL","",NA,NA,NA
442,12,10,1977,9,"OT","",NA,NA,NA
443,12,10,1977,13,"DM","M",35,42,3.5
444,12,10,1977,6,"DM","M",38,36,3.8
445,12,10,1977,9,"OL","",NA,NA,NA
446,12,10,1977,2,"OT","",NA,NA,NA
447,12,10,1977,18,"DM","M",37,44,3.7
448,12,10,1977,20,"DS","M",51,116,5.1
449,12,10,1977,2,"DM","M",35,43,3.5
450,12,10,1977,1,"DO","M",33,45,3.3
451,12,10,1977,9,"DS","F",51,116,5.1
452,12,10,1977,2,"OT","",NA,NA,NA
453,12,10,1977,9,"DM","M",36,42,3.6
454,12,10,1977,1,"DM","F",36,38,3.6
455,12,10,1977,7,"","",NA,NA,NA
456,12,10,1977,10,"","",NA,NA,NA
457,12,10,1977,16,"","",NA,NA,NA
458,12,10,1977,19,"","",NA,NA,NA
459,12,10,1977,23,"","",NA,NA,NA
460,12,11,1977,12,"DS","F",NA,114,NA
461,12,11,1977,14,"DM","M",36,41,3.6
462,12,11,1977,17,"DM","M",36,40,3.6
463,12,11,1977,4,"DS","M",49,134,4.9
464,12,11,1977,5,"DS","M",49,139,4.9
465,12,11,1977,5,"NL","",NA,NA,NA
466,12,11,1977,4,"DS","F",51,118,5.1
467,12,11,1977,8,"DO","F",32,41,3.2
468,12,11,1977,11,"DM","M",35,37,3.5
469,12,11,1977,12,"NL","",NA,NA,NA
470,12,11,1977,4,"PF","M",15,6,1.5
471,12,11,1977,5,"OT","",NA,NA,NA
472,12,11,1977,11,"DS","F",49,127,4.9
473,12,11,1977,21,"OT","",NA,NA,NA
474,12,11,1977,8,"PF","F",15,6,1.5
475,12,11,1977,11,"NL","",NA,NA,NA
476,12,11,1977,8,"DS","F",NA,120,NA
477,12,11,1977,17,"DS","F",47,115,4.7
478,12,11,1977,3,"OT","",NA,NA,NA
479,12,11,1977,14,"DM","F",36,40,3.6
480,12,11,1977,14,"DS","F",47,114,4.7
481,12,11,1977,17,"DM","F",35,37,3.5
482,12,11,1977,17,"DM","M",37,46,3.7
483,12,11,1977,8,"DS","M",49,149,4.9
484,12,11,1977,11,"DM","F",37,38,3.7
485,12,11,1977,11,"DS","M",52,127,5.2
486,12,11,1977,14,"NL","",NA,NA,NA
487,12,11,1977,12,"DM","F",38,36,3.8
488,12,11,1977,12,"DM","M",37,41,3.7
489,12,11,1977,11,"OT","",NA,NA,NA
490,12,11,1977,14,"DM","M",37,44,3.7
491,12,11,1977,11,"DS","M",48,138,4.8
492,12,11,1977,12,"DS","M",49,110,4.9
493,12,11,1977,4,"DS","F",49,110,4.9
494,12,11,1977,4,"OT","",NA,NA,NA
495,12,11,1977,17,"NL","",NA,NA,NA
496,12,11,1977,17,"DM","F",36,37,3.6
497,12,11,1977,5,"OT","",NA,NA,NA
498,12,11,1977,3,"PF","M",16,7,1.6
499,12,11,1977,11,"DS","F",51,121,5.1
500,12,11,1977,21,"OT","",NA,NA,NA
501,12,11,1977,21,"OT","",NA,NA,NA
502,12,11,1977,5,"DM","F",36,43,3.6
503,12,11,1977,15,"","",NA,NA,NA
504,1,8,1978,3,"OL","",NA,NA,NA
505,1,8,1978,13,"DM","M",36,43,3.6
506,1,8,1978,2,"NL","",NA,NA,NA
507,1,8,1978,2,"DM","M",35,44,3.5
508,1,8,1978,20,"DM","F",36,36,3.6
509,1,8,1978,3,"NL","",NA,NA,NA
510,1,8,1978,13,"PF","F",16,8,1.6
511,1,8,1978,2,"DM","M",36,38,3.6
512,1,8,1978,9,"DS","F",48,122,4.8
513,1,8,1978,2,"OL","",NA,NA,NA
514,1,8,1978,9,"PF","M",16,7,1.6
515,1,8,1978,9,"DO","F",NA,42,NA
516,1,8,1978,9,"DM","M",38,46,3.8
517,1,8,1978,2,"PE","M",26,22,2.6
518,1,8,1978,2,"DM","M",36,38,3.6
519,1,8,1978,2,"DM","M",38,48,3.8
520,1,8,1978,3,"PF","M",15,7,1.5
521,1,8,1978,2,"DM","M",36,43,3.6
522,1,8,1978,2,"DM","F",37,35,3.7
523,1,8,1978,2,"DM","M",36,43,3.6
524,1,8,1978,20,"DM","",NA,NA,NA
525,1,8,1978,6,"DM","M",34,36,3.4
526,1,8,1978,9,"DS","F",51,117,5.1
527,1,8,1978,2,"DM","F",37,37,3.7
528,1,8,1978,20,"DS","M",51,122,5.1
529,1,8,1978,9,"DM","M",36,43,3.6
530,1,8,1978,13,"DM","M",37,42,3.7
531,1,8,1978,20,"NL","",NA,NA,NA
532,1,8,1978,2,"PF","F",NA,7,NA
533,1,8,1978,2,"DM","M",NA,45,NA
534,1,8,1978,2,"OT","",NA,NA,NA
535,1,8,1978,7,"","",NA,NA,NA
536,1,8,1978,22,"","",NA,NA,NA
537,1,9,1978,14,"OT","",NA,NA,NA
538,1,9,1978,17,"DM","M",36,40,3.6
539,1,9,1978,17,"DM","F",34,37,3.4
540,1,9,1978,17,"DS","F",47,117,4.7
541,1,9,1978,11,"DM","M",36,40,3.6
542,1,9,1978,1,"DM","M",36,40,3.6
543,1,9,1978,4,"DS","M",49,132,4.9
544,1,9,1978,14,"OL","",NA,NA,NA
545,1,9,1978,1,"DM","F",38,36,3.8
546,1,9,1978,11,"NL","",NA,NA,NA
547,1,9,1978,8,"OT","",NA,NA,NA
548,1,9,1978,8,"DS","M",53,150,5.3
549,1,9,1978,11,"DM","M",38,44,3.8
550,1,9,1978,14,"DM","F",36,40,3.6
551,1,9,1978,4,"DS","F",50,126,5
552,1,9,1978,11,"DS","F",51,122,5.1
553,1,9,1978,8,"DS","F",50,136,5
554,1,9,1978,14,"NL","",NA,NA,NA
